,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Kepler,g,r,i,z,DDO51_finf,Mact
63,1,8.31,0.23,1.5422,0.725,3.846,4.231,12.1,0.037,0.0,15.057,14.657,14.349,14.218,14.193,15.022,15.155,14.976,14.998,15.074,15.052,1.542
64,1,8.31,0.31,0.43298,-1.569,3.576,4.893,11.4,0.035,0.0,20.092,19.669,18.304,17.714,17.546,20.814,22.306,21.042,20.149,19.632,22.191,0.433
65,1,8.33,0.01,0.232,-2.118,3.547,5.055,10.0,0.028,0.0,20.066,19.676,18.265,17.714,17.485,20.863,22.531,21.116,20.169,19.613,22.341,0.232
66,1,8.35,0.01,0.16341,-2.33,3.513,4.98,10.4,0.03,0.0,20.994,20.703,19.11,18.585,18.343,22.037,23.969,22.48,21.271,20.562,23.749,0.163
67,1,8.35,0.05,0.30116,-1.903,3.558,5.0,11.3,0.034,0.0,20.829,20.413,19.049,18.487,18.275,21.562,23.147,21.77,20.892,20.374,22.991,0.301
68,1,8.35,0.07,0.33141,-1.826,3.563,4.982,11.0,0.033,0.0,20.335,19.908,18.559,17.993,17.791,21.044,22.6,21.24,20.383,19.876,22.462,0.331
69,1,8.35,0.23,0.45484,-1.514,3.58,4.876,11.6,0.035,0.0,20.156,19.718,18.389,17.791,17.628,20.83,22.29,21.018,20.187,19.7,22.196,0.455
70,1,8.35,0.37,0.39626,-1.662,3.569,4.92,11.1,0.034,0.0,20.024,19.612,18.232,17.649,17.466,20.769,22.299,21.008,20.095,19.566,22.162,0.396
71,1,8.35,0.49,0.14155,-2.424,3.491,4.923,9.4,0.024,0.0,20.229,20.008,18.292,17.777,17.52,21.442,23.585,22.034,20.637,19.822,23.34,0.142
72,1,8.37,0.03,0.41421,-1.6,3.578,4.914,11.4,0.035,0.0,20.169,19.706,18.414,17.835,17.664,20.793,22.254,20.939,20.167,19.705,22.174,0.414
73,1,8.37,0.09,0.56053,-1.245,3.607,4.805,11.9,0.036,0.0,19.783,19.285,18.136,17.471,17.345,20.237,21.495,20.255,19.708,19.376,21.488,0.561
74,1,8.39,0.09,0.34534,-1.791,3.565,4.971,10.9,0.033,0.0,20.146,19.717,18.37,17.803,17.605,20.85,22.396,21.044,20.191,19.686,22.263,0.345
75,1,8.39,0.31,0.18872,-2.285,3.523,5.036,10.1,0.028,0.0,20.582,20.258,18.719,18.189,17.953,21.549,23.4,21.933,20.801,20.138,23.192,0.189
76,1,8.41,0.05,0.90032,-0.378,3.715,4.577,8.4,0.018,0.0,14.114,13.505,12.803,12.371,12.31,14.127,14.735,14.05,13.866,13.788,14.548,0.9
77,1,8.41,0.23,0.6115,-1.135,3.617,4.772,10.0,0.028,0.0,17.607,17.102,15.981,15.304,15.186,18.026,19.23,18.03,17.518,17.21,19.227,0.611
78,1,8.43,0.33,0.546,-1.292,3.599,4.811,12.2,0.037,0.0,20.199,19.741,18.506,17.831,17.701,20.756,22.068,20.841,20.18,19.783,22.03,0.546
79,1,8.43,0.35,0.30758,-1.903,3.553,4.985,11.4,0.035,0.0,20.926,20.531,19.137,18.577,18.354,21.703,23.327,21.938,21.017,20.476,23.145,0.308
80,1,8.43,0.37,0.38581,-1.689,3.567,4.929,3.7,0.003,0.0,12.693,12.263,10.893,10.317,10.131,13.414,14.942,13.65,12.744,12.221,14.804,0.386
81,1,8.45,-0.17,0.34153,-1.766,3.577,4.992,11.3,0.034,0.0,20.485,20.002,18.752,18.182,18.004,21.056,22.513,21.155,20.45,20.025,22.44,0.342
82,1,8.45,-0.15,0.27672,-1.945,3.565,5.03,10.9,0.033,0.0,20.532,20.083,18.775,18.213,18.012,21.184,22.726,21.333,20.545,20.076,22.606,0.277
83,1,8.45,-0.13,0.46283,-1.455,3.596,4.887,9.9,0.027,0.0,18.307,17.795,16.631,16.011,15.866,18.773,20.097,18.808,18.224,17.87,20.074,0.463
84,1,8.47,0.09,0.75247,-0.753,3.661,4.658,12.1,0.037,0.0,18.752,18.184,17.268,16.667,16.578,18.946,19.864,18.874,18.565,18.396,19.819,0.752
85,1,8.47,0.21,0.3732,-1.723,3.565,4.939,11.6,0.035,0.0,20.678,20.259,18.896,18.324,18.129,21.405,22.954,21.618,20.737,20.22,22.815,0.373
86,1,8.47,0.23,0.5226,-1.349,3.594,4.829,9.4,0.024,0.0,17.543,17.074,15.832,15.185,15.046,18.104,19.45,18.206,17.518,17.109,19.404,0.523
87,1,8.47,0.27,0.32712,-1.849,3.557,4.974,10.8,0.032,0.0,20.192,19.787,18.404,17.84,17.626,20.95,22.549,21.178,20.27,19.738,22.381,0.327
88,1,8.49,0.09,0.15254,-2.384,3.501,4.958,9.3,0.023,0.0,20.031,19.773,18.119,17.602,17.352,21.157,23.192,21.67,20.37,19.609,22.959,0.153
89,1,8.49,0.11,0.92229,-0.341,3.718,4.562,11.0,0.033,0.0,16.622,16.019,15.322,14.899,14.838,16.64,17.247,16.562,16.38,16.304,17.055,0.922
90,1,8.49,0.15,1.45135,0.624,3.833,4.253,10.8,0.032,0.0,14.009,13.58,13.235,13.076,13.051,13.972,14.142,13.923,13.922,13.984,14.028,1.451
91,1,8.51,-0.31,0.23564,-2.051,3.566,5.072,11.2,0.034,0.0,21.099,20.636,19.358,18.798,18.597,21.712,23.25,21.826,21.088,20.649,23.139,0.236
92,1,8.51,-0.17,0.47024,-1.429,3.599,4.882,11.6,0.035,0.0,19.943,19.427,18.285,17.658,17.517,20.384,21.679,20.398,19.849,19.516,21.665,0.47
93,1,8.51,-0.13,2.71176,1.924,4.012,3.943,12.8,0.037,0.0,12.76,13.1,13.126,13.17,13.171,13.198,12.951,13.225,13.459,13.631,13.014,2.712
94,1,8.51,0.01,1.7455,1.018,3.907,4.234,10.8,0.032,0.0,13.026,12.834,12.677,12.643,12.625,13.072,13.015,13.056,13.179,13.31,12.978,1.745
95,1,8.51,0.09,2.26569,1.495,3.964,4.099,12.0,0.036,0.0,13.032,13.095,13.055,13.078,13.067,13.235,13.044,13.248,13.45,13.609,13.07,2.266
